ID,DAY,TIME_OF DAY,EXACT_TIME(H:M),WEATHER,GRID,CORNER,HEIGHT,NO_OF_PERSONS,WINDOWS_OPEN,HUMIDITY,TEMP_CELCIUS
228,2,MORNING,9:03,CLOUDY,E,E2,HIGH,3.0,1,0.77,24.8
229,2,MORNING,8:59,CLOUDY,E,E3,LOW,2.0,1,0.71,24.3
230,2,MORNING,9:01,CLOUDY,E,E3,HIGH,2.0,1,0.76,22.9
231,2,MORNING,8:57,CLOUDY,E,E4,LOW,2.0,1,0.72,24.0
232,2,MORNING,9:02,CLOUDY,E,E4,HIGH,4.0,1,0.65,24.6
233,2,MORNING,9:01,CLOUDY,F,F1,LOW,6.0,1,0.81,25.1
234,2,MORNING,9:06,CLOUDY,F,F1,HIGH,8.0,1,0.65,23.5
235,2,MORNING,8:59,CLOUDY,F,F2,LOW,8.0,1,0.79,23.2
236,2,MORNING,8:59,CLOUDY,F,F2,HIGH,8.0,1,0.75,23.3
237,2,MORNING,9:04,CLOUDY,F,F3,LOW,7.0,1,0.73,24.7
238,2,MORNING,9:06,CLOUDY,F,F3,HIGH,6.0,1,0.72,22.8
239,2,MORNING,9:08,CLOUDY,F,F4,LOW,6.0,1,0.65,23.6
240,2,MORNING,9:08,CLOUDY,F,F4,HIGH,4.0,1,0.67,23.8
241,2,MORNING,9:04,CLOUDY,G,G1,LOW,4.0,4,0.68,24.1
242,2,MORNING,9:09,CLOUDY,G,G1,HIGH,6.0,4,0.75,24.4
243,2,MORNING,9:03,CLOUDY,G,G2,LOW,5.0,4,0.75,25.0
244,2,MORNING,9:11,CLOUDY,G,G2,HIGH,4.0,4,0.75,23.4
245,2,MORNING,9:02,CLOUDY,G,G3,LOW,5.0,4,0.81,24.4
246,2,MORNING,9:10,CLOUDY,G,G3,HIGH,4.0,4,0.73,23.7
247,2,MORNING,9:05,CLOUDY,G,G4,LOW,6.0,4,0.67,24.9
248,2,MORNING,9:13,CLOUDY,G,G4,HIGH,6.0,4,0.62,24.6
249,2,MORNING,9:08,CLOUDY,H,H1,LOW,5.0,4,0.73,23.8
250,2,MORNING,9:14,CLOUDY,H,H1,HIGH,6.0,4,0.7,25.2
251,2,MORNING,9:03,CLOUDY,H,H2,LOW,4.0,4,0.71,22.7
252,2,MORNING,9:08,CLOUDY,H,H2,HIGH,6.0,4,0.72,24.2
253,2,MORNING,9:09,CLOUDY,H,H3,LOW,5.0,4,0.73,24.6
254,2,MORNING,9:10,CLOUDY,H,H3,HIGH,6.0,4,0.67,22.8
255,2,MORNING,9:12,CLOUDY,H,H4,LOW,4.0,4,0.64,23.6
256,2,MORNING,9:13,CLOUDY,H,H4,HIGH,5.0,4,0.72,24.3
257,2,AFTERNOON,2:42,SUNNY,A,A1,LOW,5.0,4,0.61,32.8
258,2,AFTERNOON,3:02,SUNNY,A,A1,HIGH,6.0,4,0.62,32.3
259,2,AFTERNOON,2:39,SUNNY,A,A2,LOW,5.0,4,0.64,35.6
260,2,AFTERNOON,3:08,SUNNY,A,A2,HIGH,5.0,4,0.5,32.6
261,2,AFTERNOON,2:50,SUNNY,A,A3,LOW,5.0,4,0.62,34.4
262,2,AFTERNOON,3:08,SUNNY,A,A3,HIGH,6.0,4,0.62,34.0
263,2,AFTERNOON,2:43,SUNNY,A,A4,LOW,5.0,4,0.63,34.3
264,2,AFTERNOON,3:06,SUNNY,A,A4,HIGH,6.0,4,0.51,33.6
265,2,AFTERNOON,2:47,SUNNY,B,B1,LOW,6.0,4,0.61,33.2
266,2,AFTERNOON,3:03,SUNNY,B,B1,HIGH,5.0,4,0.55,34.9
267,2,AFTERNOON,2:47,SUNNY,B,B2,LOW,5.0,4,0.62,31.2
268,2,AFTERNOON,3:02,SUNNY,B,B2,HIGH,4.0,4,0.54,35.2
269,2,AFTERNOON,2:48,SUNNY,B,B3,LOW,6.0,4,0.72,36.8
270,2,AFTERNOON,3:05,SUNNY,B,B3,HIGH,4.0,4,0.54,33.3
271,2,AFTERNOON,2:47,SUNNY,B,B4,LOW,5.0,4,0.59,36.5
272,2,AFTERNOON,3:01,SUNNY,B,B4,HIGH,5.0,4,0.56,33.0
273,2,AFTERNOON,2:48,SUNNY,C,C1,LOW,2.0,1,0.56,35.4
274,2,AFTERNOON,3:06,SUNNY,C,C1,HIGH,4.0,1,0.63,33.3
275,2,AFTERNOON,2:46,SUNNY,C,C2,LOW,3.0,1,0.66,32.9
276,2,AFTERNOON,3:07,SUNNY,C,C2,HIGH,2.0,1,0.54,36.8
277,2,AFTERNOON,2:57,SUNNY,C,C3,LOW,3.0,1,0.48,32.5
278,2,AFTERNOON,3:01,SUNNY,C,C3,HIGH,3.0,1,0.52,32.0
